stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
ASN00010073,32809.3333,405,408.3333,193.6667,199.6667,0,-6.4998,-6.1285,-7.2195,-7.2995,-15.9497,6.4982,6.7912,7.2336,7.1577,15.843
ASN00010111,39940.3333,588,581.6667,291.3333,291.6667,0,-5.9704,-5.8512,-6.6352,-6.6661,-14.5256,5.9621,6.0506,6.6332,6.6014,14.475
ASN00010579,37823.6667,496.3333,490.6667,248.6667,246.6667,0,-6.1083,-5.9107,-6.7863,-6.8025,-13.6198,6.0246,6.1781,6.7049,6.698,13.5205
ASN00010614,36069,544.6667,535,287.3333,283,0,-6.3166,-6.1511,-7.0179,-6.9943,-14.8767,6.1741,6.3052,6.8711,6.8902,14.763
ASN00010648,36386.3333,373.6667,375,169.6667,168.6667,0,-6.2104,-6.1147,-6.9036,-6.9346,-12.8577,6.222,6.2916,6.9207,6.8967,12.8322
ASN00012074,36083.6667,379.3333,406,161.3333,165,0,-6.9288,-6.4665,-7.6956,-7.879,-17.3221,7.1137,7.4769,7.9189,7.7215,17.2503
ASN00018070,39690.6667,1495.3333,1479,1083.6667,1334.6667,0,-4.5929,-3.6187,-5.0759,-5.4368,-19.5422,4.7984,5.9215,5.3667,4.8809,19.1766
ASN00023000,35151,1333.6667,1232,854,1115.6667,0,-6.3756,-4.9761,-7.0482,-7.4792,-34.7112,6.5542,8.1671,7.3291,6.7446,34.2049
ASN00026020,16798.3333,587,527.3333,405,476,0,-5.4,-4.4663,-5.9762,-6.2397,-20.3684,5.4251,6.3873,6.0608,5.7327,19.9944
ASN00026026,46788,1564.6667,1471.6667,1076.6667,1137,0,-4.3144,-3.8564,-4.7819,-4.901,-12.6705,4.2509,4.6568,4.7423,4.6247,12.4474
ASN00028004,24411.6667,604,623.3333,392.6667,398.6667,1,-2.7216,-2.8039,-3.0298,-2.9882,-6.869,2.7086,2.5985,3.0084,3.05,6.9121
ASN00029004,37426.6667,831.6667,829.3333,493,506.6667,0.6667,-3.6567,-3.887,-4.0726,-4.007,-10.1578,3.6524,3.3743,4.0548,4.1227,10.2435
ASN00030018,39768.3333,1143,1175.3333,733.6667,774.6667,0,-3.5534,-3.8328,-3.9602,-3.8329,-10.7771,3.5038,3.1759,3.887,3.9935,10.8852
ASN00030045,43876.3333,990.6667,1065.6667,535.3333,593.3333,0,-4.919,-5.4248,-5.4824,-5.2358,-16.2961,4.7249,4.1656,5.2412,5.4624,16.4176
ASN00031010,23918.3333,710,734,451.3333,456,0,-2.5745,-2.7209,-2.8674,-2.7981,-7.2462,2.5306,2.3482,2.8093,2.8807,7.2972
ASN00033047,23975,878,883.3333,560.6667,558.6667,0,-3.4656,-3.5073,-3.8557,-3.8584,-9.7362,3.5083,3.4545,3.8989,3.8963,9.7752
ASN00035027,34206.3333,776.6667,784,429.3333,429.6667,0,-4.4811,-4.5259,-4.9845,-4.9925,-12.1938,4.525,4.4558,5.03,5.0223,12.2272
ASN00038003,43731.3333,703,797.6667,374,386.6667,0,-6.1929,-6.527,-6.8937,-6.6325,-16.0019,5.8882,5.4742,6.5399,6.7663,16.0261
ASN00039039,40859,607,624.6667,303.6667,310,0,-4.5648,-4.3677,-5.0718,-5.1932,-11.8419,4.7097,4.8537,5.2409,5.122,11.8247
ASN00040264,24018.3333,818,820,508.3333,506,0,-3.6008,-3.5156,-4.0007,-3.9974,-10.516,3.5353,3.602,3.9343,3.9401,10.4566
ASN00041038,33630,496.6667,508,246,251.3333,0,-5.6638,-5.6879,-6.2984,-6.2553,-13.5856,5.603,5.5422,6.2297,6.2649,13.5776
ASN00046037,32444.3333,395.3333,456.6667,183.6667,189,0,-6.9773,-6.4429,-7.7487,-8.0116,-18.1003,7.3046,7.7335,8.132,7.8383,18.0522
ASN00048013,43883.6667,667.6667,685.3333,331,336.3333,0,-6.6321,-6.3893,-7.3698,-7.4475,-16.7994,6.6957,6.8798,7.45,7.3635,16.7523
ASN00052026,39828.3333,643,661,321.3333,327.3333,0,-6.3677,-6.0958,-7.0754,-7.1412,-16.4699,6.3898,6.5979,7.1104,7.048,16.4055
