stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00295273,32111.3333,1292.3333,1317.6667,884.6667,894.3333,3.3333,186,-4.9343,-5.1341,-5.4957,-5.4366,-14.9773,-7.9018,4.9953,4.7469,5.5454,5.5984,15.1139,8.0384
USC00295617,28377,867.6667,920.3333,550.6667,604.3333,0,81,-7.1254,-8.0325,-7.9486,-7.5516,-26.1084,-11.0676,6.9236,5.9517,7.6732,8.0068,26.3993,11.3585
USC00295754,14445,444.6667,446.6667,285.3333,292.6667,1.6667,62.3333,-4.5276,-4.788,-5.0441,-4.9981,-12.9085,-6.9955,4.6271,4.309,5.1355,5.1695,13.0619,7.1489
USC00295960,33872.3333,1101.6667,1106,689,751.6667,0,96.6667,-5.6216,-6.1952,-6.269,-6.0263,-19.7487,-8.8676,5.5334,4.8835,6.1349,6.3479,19.9678,9.0868
USC00295965,34490,1167.6667,1211.3333,754.6667,798.3333,0.3333,134.3333,-5.7713,-6.3377,-6.435,-6.202,-20.359,-9.132,5.7034,5.0599,6.3243,6.5163,20.5778,9.3508
USC00296435,29505,832.3333,904,519.3333,550.3333,0.3333,73,-5.8098,-6.3669,-6.4759,-6.1548,-18.3495,-9.0011,5.5358,4.9167,6.1399,6.4337,18.4901,9.1418
USC00296676,24353.6667,766.3333,807.6667,505,544.6667,0,85.6667,-6.0572,-6.6415,-6.7536,-6.45,-19.7781,-9.3632,5.8885,5.2309,6.5294,6.7769,19.9811,9.5662
USC00297008,38209.3333,1176.3333,1286,747.3333,814.3333,0,113.3333,-7.1696,-8.0109,-7.996,-7.5759,-25.5136,-11.2407,6.8711,5.9689,7.6165,8.0015,25.7582,11.4853
USC00297180,26152,1058.6667,1091.3333,703,727.3333,0,152.3333,-5.5838,-5.9768,-6.2238,-6.0957,-18.5245,-8.8086,5.6285,5.1611,6.2437,6.361,18.7346,9.0188
USC00297323,37172.3333,1965.6667,2054.6667,1392.6667,1453.3333,0,289.3333,-5.2454,-5.7608,-5.8506,-5.6402,-21.8457,-8.3456,5.2261,4.6425,5.7932,5.9618,22.0821,8.582
USC00297638,26817.6667,993.3333,1068.6667,642,710,0,111.6667,-6.9755,-7.8351,-7.7817,-7.3322,-26.4057,-10.7405,6.6852,5.7696,7.4083,7.7845,26.6723,11.0072
USC00297867,38421,856.6667,871.3333,499,526.3333,0,47.6667,-8.625,-9.1504,-9.608,-9.3951,-26.1413,-13.8089,8.5689,7.9207,9.5109,9.7057,26.3602,14.0279
USC00298107,31312,1140.6667,1242.6667,741,792,0,128.6667,-6.3882,-7.0773,-7.1243,-6.7625,-23.2265,-9.9415,6.1477,5.3882,6.815,7.1366,23.447,10.1619
USC00298387,39895.3333,1283.3333,1333.3333,828.3333,844,0,98.3333,-5.3833,-5.6356,-5.9938,-5.8534,-16.8651,-8.6131,5.2883,4.9717,5.8725,5.9927,16.9458,8.6938
USC00298501,38346.3333,1685.3333,1747,1169,1213,0.6667,260,-6.0495,-6.565,-6.745,-6.506,-22.4182,-9.6241,5.9815,5.3984,6.6329,6.8328,22.6464,9.8522
USC00298668,34752.3333,1260.3333,1282,814,858.6667,0,132.3333,-5.4949,-6.0689,-6.1275,-5.8744,-19.8626,-8.6414,5.3544,4.7154,5.9364,6.1859,20.0611,8.8398
USC00299085,27574.6667,1020.6667,1072.6667,661.3333,721.3333,0,112.6667,-5.6242,-6.2047,-6.2715,-5.972,-19.2636,-8.7185,5.4351,4.7942,6.026,6.286,19.4518,8.9068
