stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00104295,5624,308.3333,375.6667,239,491.6667,0,183,-3.3237,-1.1089,-3.8488,-5.0286,-61.2689,-8.1702,10.3337,18.0033,11.3375,7.762,65.0715,11.9727
USC00104384,3507,184.3333,300.6667,144.6667,375.6667,0,126.3333,-3.3269,-0.7754,-3.875,-5.5802,-86.0752,-9.6276,13.441,27.7693,14.7701,8.7183,90.9573,14.5097
USC00104442,8650.6667,383,664.6667,287,650,0.3333,203.3333,-6.3684,-2.5354,-7.2884,-9.9047,-101.7607,-15.6433,18.1922,31.8849,20.0217,13.6048,107.4917,21.3743
USC00104670,7155.6667,442,650,342.3333,740.6667,0,264,-2.9713,-0.9904,-3.4119,-4.88,-75.5809,-8.0139,9.8919,19.314,10.8914,6.8085,78.7574,11.1904
USC00104793,10251.3333,392.3333,592.6667,278,717,0,201.3333,-5.7062,-2.5171,-6.4816,-8.4557,-71.6187,-13.247,14.3512,24.9376,15.8213,10.8951,75.6095,17.2379
USC00104831,16041,706.6667,1014.3333,522.3333,1023,1,317,-6.9247,-3.55,-7.8019,-9.8235,-74.7621,-14.991,14.4684,23.6986,15.9862,11.6456,78.0146,18.2435
USC00105275,8667,636.6667,866.3333,501,970.6667,0,382,-2.5924,-0.9067,-2.9668,-4.1588,-75.2688,-6.8714,8.2039,16.0709,9.0382,5.6628,77.7997,9.4022
USC00105462,6734.3333,451.3333,581.3333,366,744,0,293,-2.8302,-0.7979,-3.2787,-4.5661,-79.2008,-7.9089,10.2236,20.0163,11.2365,6.9172,82.8125,11.5206
USC00105708,11429.6667,420.3333,691.3333,295,687,0,191,-6.6073,-2.9712,-7.5137,-9.8978,-78.8342,-15.2738,16.4567,27.7112,18.1324,12.876,83.5302,19.9698
USC00106152,15222,742.3333,1066.3333,552.6667,1164,0,373,-5.9734,-2.7627,-6.7491,-8.7677,-87.5487,-13.7239,13.9514,24.5077,15.4064,10.6784,90.9762,17.1514
USC00106174,6080,288,435.3333,224.6667,501.3333,0,172,-3.4213,-1.1288,-3.9597,-5.4487,-60.8959,-8.6623,10.9574,19.3936,12.0287,8.2253,64.8624,12.6288
USC00106388,9641.6667,450,669.6667,348,739.6667,0.3333,247,-6.1552,-2.7022,-6.9947,-9.2761,-87.7419,-14.5287,15.9712,27.8949,17.6087,11.9642,92.212,18.9988
USC00106424,7917.3333,355.3333,520.6667,279.3333,639.3333,0,217.3333,-4.7661,-2.0656,-5.408,-7.0303,-72.2668,-11.1383,12.3027,22.0889,13.5716,8.9664,75.603,14.4745
USC00106542,8297,460.6667,554,364,738,0,279,-3.5156,-1.1146,-4.0784,-5.4269,-67.5489,-8.9323,11.1366,19.5264,12.2141,8.4507,71.722,13.1055
USC00106586,4059,160.3333,283.3333,115,290.6667,0,89.3333,-5.9782,-2.5229,-6.7955,-9.0779,-85.6715,-13.5163,15.7035,28.1439,17.3135,11.723,90.0866,17.9314
USC00106891,7660.6667,384,590,287.3333,709.3333,0,221.6667,-3.3886,-1.1594,-3.8959,-5.3951,-72.0362,-8.8663,10.8354,20.4494,11.9205,7.68,75.6115,12.4417
USC00107208,3355.6667,244.6667,344.6667,192.6667,376.6667,0,165.6667,-3.111,-1.2277,-3.5254,-5.0437,-83.7835,-7.6184,9.1691,18.6875,10.1295,6.2239,86.1832,10.0181
USC00107264,13116,588.3333,900.3333,442.6667,955,0.3333,298,-4.515,-1.8515,-5.1513,-6.9031,-68.9739,-11.0655,12.2706,21.7098,13.5135,9.2399,72.6655,14.7571
USC00107301,9993,389.6667,570.6667,283,638,0,202.3333,-6.1037,-2.5998,-6.9706,-9.0966,-76.3794,-14.2232,15.8631,26.6929,17.4554,12.3765,81.2791,19.123
USC00107386,15902,718.3333,1239.3333,531.3333,1140.3333,0,353.3333,-6.8399,-3.2266,-7.7106,-10.2789,-95.8125,-15.9507,16.1,28.7134,17.7974,12.1538,99.5337,19.6719
USC00107673,6280.6667,299.6667,408.6667,222.6667,534.3333,0,176.3333,-3.6842,-1.1423,-4.2663,-5.9236,-70.4803,-9.7924,12.5469,23.1031,13.7819,8.9545,74.9692,14.2813
USC00107706,8678,419.3333,581.6667,324,744,0,242.3333,-4.2204,-1.6346,-4.8253,-6.4214,-74.1406,-10.3143,11.9174,21.4665,13.1192,8.7862,77.8385,14.0122
USC00108022,6511,363.6667,511.3333,278,598,0,215,-3.7783,-1.3173,-4.3289,-6.0467,-75.0048,-9.6491,11.6912,22.4581,12.8725,8.3259,78.6924,13.3367
USC00108062,13732.6667,628.3333,941,480.6667,913.3333,0,323,-6.8056,-3.2916,-7.7025,-9.9702,-83.4098,-15.3642,15.7474,26.2989,17.3753,12.3823,87.4543,19.4088
USC00108137,12982.6667,585,916.3333,437,911,0,290,-7.4845,-3.5417,-8.4632,-11.1229,-96.6323,-17.1793,17.7575,30.5207,19.6046,13.6381,101.0869,21.6339
USC00108380,6962.3333,416.6667,610,323.6667,679,0,250.6667,-3.2719,-1.0382,-3.7694,-5.3781,-76.5041,-8.7521,10.9322,21.0819,12.0249,7.7216,80.1768,12.4248
USC00108676,4244.3333,213.6667,298.3333,167.6667,337.3333,0,132.6667,-3.9455,-1.4624,-4.5344,-6.1457,-58.7483,-9.3713,11.6246,20.4978,12.7788,8.7741,62.6394,13.2624
USC00108818,4882,230.3333,249,179.3333,358.3333,0,138.6667,-3.9099,-1.2713,-4.5451,-5.9089,-56.9481,-9.4917,12.2928,20.8513,13.4715,9.4374,61.6902,14.2338
USC00109560,5192.6667,235.3333,263.6667,186,327,1,136,-5.7756,-2.4173,-6.6602,-8.2802,-66.6883,-12.4429,14.8881,23.135,16.3169,12.5322,72.1554,17.91
USC00109638,6373,240.3333,394,176,476.6667,0,132.6667,-4.1138,-1.5494,-4.7225,-6.32,-61.1674,-10.1506,12.2761,21.7239,13.5022,8.9669,65.1931,14.1764
USC00110055,7952,377,512,296.3333,701.3333,0,235.6667,-11.5817,-4.1645,-13.2468,-17.853,-214.2151,-29.3365,34.6417,66.1918,38.1513,24.437,224.9181,40.0395
USC00110072,11594.3333,678.3333,1043,519,1238.6667,0,407.3333,-8.3944,-2.8994,-9.5869,-13.6326,-223.1614,-23.0703,27.043,55.2548,29.8177,18.149,231.2108,31.1197
USC00110137,7397.6667,428,650.3333,324.6667,778,0,265.6667,-9.3125,-3.3795,-10.5929,-15.1423,-214.9461,-25.2162,30.0007,62.8343,33.1215,19.391,223.3047,33.5747
USC00110187,11650.3333,547,759.3333,410,1040,0,305,-12.5965,-4.7597,-14.3651,-19.4214,-220.2449,-32.8051,37.511,71.8432,41.352,25.8242,231.2756,43.8359
USC00110203,8138.3333,437.3333,588,333,800,0.6667,267.3333,-8.5493,-3.061,-9.7696,-13.3233,-172.3573,-22.1576,26.232,51.0969,28.9054,18.0258,180.3048,30.1052
USC00110338,13333.3333,805,1248.3333,635.6667,1447,2,501,-7.9298,-2.9192,-9.0051,-12.8997,-201.0158,-22.0136,25.0836,53.1118,27.7041,16.2506,207.8174,28.8152
USC00110492,9471.6667,481.6667,802,378.6667,948.6667,0,303.3333,-8.9875,-3.0844,-10.2838,-14.6016,-206.7466,-24.6017,29.4594,59.229,32.4674,19.7834,215.7509,33.6061
USC00111265,13017.3333,674.3333,1141,521,1301.6667,0,395.3333,-10.5939,-4.0634,-12.006,-16.9763,-222.9046,-28.9143,32.5484,68.2773,35.9662,21.0154,231.4226,37.4322
USC00111280,12066.3333,654,1038,499.6667,1196.6667,0,384.3333,-9.1542,-3.4726,-10.3998,-14.7418,-206.0474,-24.81,28.2832,57.6103,31.2288,18.6854,213.7874,32.55
USC00111329,9394,402.3333,602.6667,304.6667,801.6667,0,242.6667,-10.8818,-3.8916,-12.4532,-16.988,-188.9171,-28.3833,33.4893,64.0707,36.8853,23.297,199.3007,38.7669
USC00111386,7844.6667,398,592,307.3333,760.3333,0,246,-10.4536,-3.7999,-11.9223,-16.439,-227.6094,-27.229,32.1334,63.6754,35.4325,21.7685,237.0264,36.646
USC00111436,13075.6667,752.3333,1116.6667,592,1297.3333,0,457.3333,-9.2366,-3.4863,-10.4972,-14.897,-204.7064,-25.1285,28.5481,58.0349,31.5176,18.9439,212.5694,32.9915
USC00111491,7674.3333,398.3333,570.6667,302.6667,752.3333,0,242.3333,-10.9576,-3.9869,-12.5009,-17.2187,-227.5484,-28.3199,33.4272,65.8472,36.8529,22.8739,237.4071,38.1787
USC00111743,11442,646.3333,1114.3333,503.6667,1242.3333,0,392.3333,-8.5391,-3.0685,-9.7171,-14.2749,-229.6715,-24.2852,28.4486,60.3837,31.4114,18.2425,237.6246,32.2383
USC00112140,12923,686.3333,1124.3333,540.3333,1290,0,410,-8.9883,-3.3896,-10.209,-14.5616,-191.8154,-24.413,27.6814,56.7701,30.566,18.3926,199.3619,31.9596
USC00112193,13880,799,1216.6667,633.6667,1440,0,493.3333,-8.7326,-3.3301,-9.9103,-14.0864,-204.4223,-24.0641,27.1953,56.1346,30.0398,17.6612,211.7191,31.3609
