"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"gamma",1.21910982658712,NA,1.8114,7.9216,0.2993,0.3297,4.3349,0.3333,7.3742,0.3335,11.1589
"gamma",1.23248579352673,NA,1.8015,7.8682,0.2947,0.3337,4.3143,0.3376,7.3351,0.3377,11.0953
"gamma",1.88746758448482,184.282573820697,1.4558,6.1789,0.2309,0.5009,3.6569,0.5226,6.0882,0.5257,9.0672
"gamma",1.04091820902997,NA,1.9603,8.7641,0.3258,0.274,4.6609,0.2756,7.9936,0.2756,12.1666
"gamma",1.52502198921833,160.82519338344,1.6195,6.9344,0.2595,0.415,3.9534,0.425,6.6502,0.4259,9.9813
"gamma",26.2739980545828,134.659268651134,0.3902,3.2284,0.0587,1.3317,2.1571,1.7664,3.2636,2.1274,4.4825
"gamma",4.42584610075776,NA,0.9507,4.3557,0.1443,0.8422,2.8716,0.9735,4.6037,1.032,6.6536
"gamma",2.10089151824869,NA,1.3798,5.8559,0.2175,0.545,3.5274,0.5749,5.8429,0.5802,8.6682
"gamma",1.79517581851231,NA,1.4927,6.3423,0.237,0.4804,3.7217,0.4988,6.2109,0.5012,9.2668
"gamma",1.308571502977,NA,1.7484,7.5852,0.2844,0.3559,4.2052,0.3611,7.1278,0.3614,10.7581
"gamma",1.65115138098889,199.765062588721,1.5565,6.6338,0.2508,0.4466,3.8363,0.4603,6.4281,0.4617,9.62
"gamma",2.63081695582662,135.810881652776,1.2331,5.2807,0.193,0.6377,3.2895,0.6907,5.3928,0.7042,7.9363
"gamma",4.99954920235975,NA,0.8945,4.2001,0.1375,0.8867,2.7938,1.0396,4.457,1.1142,6.4153
"gamma",1.14488994150888,NA,1.8692,8.2407,0.3084,0.3071,4.4581,0.3097,7.6082,0.3098,11.5395
"gamma",1.49674560077717,214.908333116793,1.6348,7.0087,0.2648,0.4076,3.9823,0.4169,6.705,0.4177,10.0703
"gamma",1.03130399093581,NA,1.9694,8.8179,0.3273,0.2709,4.6818,0.2724,8.0334,0.2724,12.2313
"gamma",2.24943323524366,NA,1.3335,5.6673,0.2084,0.5732,3.4505,0.6093,5.6975,0.6165,8.4318
"gamma",2.93273233374625,177.119015538658,1.1679,5.0459,0.1817,0.6819,3.1887,0.7488,5.2023,0.7684,7.6265
"gamma",1.02713079898348,NA,1.9734,8.8415,0.3272,0.2695,4.691,0.271,8.0509,0.271,12.2598
"gamma",1.01716360932961,NA,1.9831,8.8988,0.3309,0.2663,4.7133,0.2676,8.0932,0.2676,12.3287
"gamma",2.26714318960262,221.708474151848,1.3283,5.6465,0.2074,0.5764,3.442,0.6133,5.6813,0.6207,8.4055
"gamma",1.81342270777896,NA,1.4852,6.3087,0.2375,0.4845,3.7084,0.5036,6.1857,0.5061,9.2258
"gamma",1.10133818600578,NA,1.9058,8.4479,0.3164,0.2934,4.5382,0.2955,7.7605,0.2956,11.7873
