"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"pearson IV",3.90100778724672,-0.598077870689333,0.2364,5.2551,0.0202,2.4973,2.9556,5.024,6.1896,10.6175,13.4951
"pearson IV",3.87369020667952,-0.600153779571876,0.2415,5.3033,0.0206,2.5041,2.9714,5.0539,6.2458,10.7315,13.686
"pearson IV",3.84473446161719,-0.591388113011606,0.2427,5.3522,0.0222,2.5156,2.9841,5.097,6.2958,10.8827,13.867
"pearson IV",3.82206402046094,-0.580700613411143,0.2421,5.3903,0.0201,2.5264,2.9927,5.1355,6.3318,11.0142,14.0028
"pearson IV",3.78084452689625,-0.522806169572519,0.2245,5.4473,0.0206,2.5618,2.9927,5.2473,6.3577,11.3624,14.1542
"pearson IV",3.75881629322609,-0.53190400106064,0.2319,5.4959,0.021,2.5652,3.0095,5.2676,6.4154,11.4512,14.3472
"pearson IV",3.7322744341814,-0.530699768081773,0.2358,5.5518,0.0194,2.5743,3.0249,5.3054,6.4731,11.5936,14.5527
"pearson IV",3.70533932663267,-0.526431308215251,0.2385,5.6097,0.0187,2.5851,3.0397,5.348,6.5299,11.7511,14.7594
"pearson IV",3.6880969064394,-0.525390404342208,0.2411,5.6489,0.0188,2.5914,3.05,5.3741,6.569,11.8499,14.9002
"pearson IV",3.66967160804803,-0.526150566352764,0.2447,5.693,0.019,2.5974,3.0621,5.4003,6.6138,11.9524,15.0596
"pearson IV",3.63028680333868,-0.455712359274738,0.2185,5.7575,0.0186,2.6422,3.0555,5.5411,6.6255,12.3934,15.1892
"pearson IV",3.60678653020971,-0.428600810514297,0.2093,5.806,0.0176,2.6633,3.0582,5.6112,6.6504,12.6243,15.3146
"pearson IV",3.59000166945625,-0.448270962927956,0.2217,5.8599,0.0175,2.6611,3.0785,5.6159,6.7168,12.673,15.5318
"pearson IV",3.57602281885222,-0.456601331519894,0.2283,5.9025,0.017,2.6628,3.0918,5.6294,6.7632,12.7391,15.6905
"pearson IV",3.55473310869839,-0.414325036761351,0.2108,5.9425,0.0155,2.6909,3.086,5.7178,6.7648,13.0182,15.7546
"pearson IV",3.53863047449105,-0.424817708346061,0.2188,5.9948,0.0185,2.6926,3.1021,5.7335,6.8209,13.0968,15.9473
"pearson IV",3.51613939311821,-0.403832107007038,0.2119,6.0528,0.0195,2.7121,3.1075,5.8009,6.8539,13.3281,16.1003
"pearson IV",3.5059994303314,-0.43157271998236,0.2282,6.0991,0.0173,2.7032,3.1285,5.7842,6.9185,13.3091,16.3011
"pearson IV",3.49619464891311,-0.451353386189323,0.2405,6.1418,0.0196,2.6978,3.1455,5.7769,6.9725,13.3141,16.4735
"pearson IV",3.47398420764739,-0.439119603219675,0.2383,6.2091,0.0179,2.7133,3.1556,5.8344,7.0193,13.5225,16.6675
"pearson IV",3.45887747699628,-0.41071448004921,0.2258,6.2451,0.0175,2.734,3.1523,5.9011,7.024,13.7393,16.7286
"pearson IV",3.44120282592531,-0.38949476180994,0.2174,6.296,0.0173,2.7528,3.1544,5.9649,7.046,13.9569,16.8454
"pearson IV",3.42367850091541,-0.353926885530585,0.2007,6.341,0.0142,2.7792,3.1489,6.0496,7.0473,14.2326,16.9075
"pearson IV",3.40608303642948,-0.352904604445677,0.2031,6.407,0.0167,2.7883,3.1616,6.0885,7.0984,14.3873,17.1049
"pearson IV",3.39347086021211,-0.354905372376321,0.2065,6.4575,0.0155,2.7935,3.1723,6.1129,7.1397,14.4901,17.2603
"pearson IV",3.38138067267253,-0.35450224708952,0.2085,6.5059,0.0157,2.7998,3.1815,6.14,7.1764,14.5992,17.4026
