"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"betaprime",4.73552696740255,30.9685617182404,1.1841,5.4035,0.187,5.4295,1.1907,0.3543,3.8215,0.187500313275897,0.999682,5.4774,6.2575,7.0603,7.8877,8.7415
"betaprime",5.16096313991584,27.6897919324692,1.1852,5.4494,0.186,5.3939,1.1795,0.3677,3.8199,0.186538974439267,0.99958,5.5421,6.346,7.1771,8.0376,8.9295
"betaprime",6.33875869697891,23.3185279899044,1.1801,5.5076,0.1841,5.4861,1.1747,0.3909,3.8017,0.183612201402454,0.999363,5.6399,6.4842,7.3641,8.2823,9.2418
"betaprime",7.01496837029699,21.7297758278437,1.1818,5.5514,0.1832,5.5433,1.1809,0.4033,3.7982,0.18294270651349,0.999247,5.6978,6.5638,7.4695,8.4183,9.4135
"betaprime",7.76898653588723,20.4247556190938,1.1851,5.6002,0.1859,5.5611,1.1841,0.4157,3.7966,0.182597599455918,0.999128,5.7578,6.6455,7.5772,8.5567,9.5877
"betaprime",8.78782993575558,19.2766806658474,1.1873,5.6458,0.1804,5.5622,1.1777,0.428,3.7921,0.182070416236451,0.999001,5.8152,6.7243,7.6819,8.6922,9.7593
"betaprime",12.4826673630625,17.5582360128313,1.1818,5.692,0.1803,5.8817,1.2024,0.448,3.7679,0.179625448197091,0.998764,5.8912,6.8337,7.8326,8.8927,10.0192
"betaprime",2.98495980988955,140.121247177024,1.2076,5.2476,0.1988,5.218,1.2032,0.2843,3.8585,0.199556136467012,1,5.1681,5.8228,6.4769,7.1315,7.7872
"betaprime",3.27070497514214,71.7331545229768,1.2069,5.3058,0.1993,5.3089,1.2059,0.3027,3.8625,0.197283270288884,0.999974,5.2625,5.9512,6.6449,7.3446,8.0513
"betaprime",3.50980489364592,54.1244446727796,1.2049,5.3406,0.1945,5.3978,1.2068,0.3154,3.8606,0.195477368296508,0.999932,5.3229,6.0347,6.7554,7.4863,8.2283
"betaprime",3.92440603551222,40.093910649803,1.2023,5.3946,0.1931,5.492,1.211,0.3345,3.856,0.192983836631841,0.999837,5.413,6.1592,6.9207,7.6987,8.4948
"betaprime",4.20844505030662,34.1870619198307,1.2066,5.4549,0.1902,5.4941,1.2032,0.3494,3.8614,0.192393165282532,0.999749,5.4916,6.2648,7.0578,7.8724,8.7102
"betaprime",4.66396426499821,29.5076931626536,1.2037,5.4938,0.1923,5.5374,1.2093,0.3643,3.8527,0.190424338513469,0.999636,5.5572,6.3567,7.1813,8.033,8.9136
"betaprime",5.04910407032818,26.469280627789,1.2078,5.5527,0.1898,5.5744,1.2118,0.379,3.8547,0.189905347558613,0.999524,5.6317,6.4575,7.3131,8.2009,9.1232
"betaprime",6.30118267690297,22.2923560108757,1.2004,5.6076,0.1847,5.6489,1.2042,0.4035,3.83,0.186408670564356,0.999285,5.7294,6.5974,7.5041,8.4529,9.4468
"betaprime",6.44212363458704,21.6227209870704,1.2072,5.6506,0.1828,5.58,1.1986,0.4106,3.8377,0.187108375155585,0.999229,5.7721,6.6529,7.5747,8.5409,9.5548
"betaprime",7.9130988942273,19.4802907579578,1.2045,5.7043,0.1858,5.6138,1.1961,0.4302,3.8201,0.185038876116655,0.999019,5.8531,6.7675,7.7304,8.7456,9.8174
"betaprime",9.1939129720116,18.3960277754581,1.2038,5.7416,0.1819,5.7523,1.2091,0.4427,3.8097,0.183978164469027,0.998882,5.9052,6.8409,7.8297,8.876,9.9846
"betaprime",12.6049103559926,16.9858159502409,1.2013,5.7934,0.1812,5.8497,1.2044,0.4616,3.7898,0.182142822765385,0.998661,5.9802,6.9478,7.9756,9.0691,10.234
"betaprime",3.15436070308788,74.8976639959961,1.2219,5.3558,0.2012,5.4145,1.2287,0.3042,3.889,0.200270931437735,0.999977,5.2956,5.9882,6.6855,7.3886,8.0981
"betaprime",3.1965486900066,66.4538220589748,1.2273,5.3916,0.1981,5.397,1.2281,0.3102,3.8994,0.200725580310526,0.999964,5.3351,6.0391,6.7494,7.467,8.1927
"betaprime",3.55619043000974,45.9925423495006,1.2236,5.442,0.197,5.4099,1.2196,0.3293,3.8936,0.197852704642936,0.999886,5.4236,6.1621,6.9131,7.6777,8.4572
"betaprime",3.75004348213319,39.3582564705284,1.227,5.4918,0.1985,5.4887,1.2285,0.3416,3.8985,0.197275625070673,0.999824,5.4888,6.2497,7.0268,7.8215,8.6353
"betaprime",4.4502864421811,29.606112933252,1.2213,5.5592,0.1947,5.5482,1.221,0.3681,3.8823,0.193538926351072,0.999635,5.6044,6.4121,7.2452,8.1057,8.9955
"betaprime",4.52296201420017,28.4097953948658,1.227,5.5966,0.196,5.6113,1.2298,0.3744,3.89,0.194064098006358,0.999595,5.6431,6.4625,7.3091,8.1851,9.0924
"betaprime",4.9392809012346,25.5181847799104,1.2282,5.6469,0.1927,5.6489,1.2268,0.389,3.886,0.192965097187953,0.999474,5.7118,6.5571,7.4345,8.3467,9.2961
"betaprime",5.47304283338599,23.1446423880756,1.2288,5.6965,0.1927,5.6203,1.2196,0.4042,3.879,0.191725824159103,0.999337,5.7804,6.6522,7.5615,8.5113,9.5046
"betaprime",6.403314708611,20.8102440662799,1.2261,5.7461,0.1887,5.7179,1.2246,0.4225,3.863,0.189681171495331,0.999152,5.856,6.7592,7.7067,8.7021,9.749
"betaprime",7.49107078015804,19.1378704935196,1.2264,5.8013,0.1901,5.7755,1.2274,0.4398,3.8511,0.188334685003762,0.998971,5.9303,6.8632,7.8466,8.8849,9.9825
"betaprime",8.28801750850398,18.2851943228976,1.2281,5.8408,0.1871,5.8605,1.2262,0.4506,3.8456,0.187818396399552,0.998858,5.9788,6.9302,7.9361,9.0013,10.1305
"betaprime",12.1957410871051,16.5508674231172,1.2225,5.8982,0.1832,5.857,1.2182,0.4743,3.8149,0.185015658563269,0.998573,6.0677,7.0587,8.1136,9.2382,10.4385
"betaprime",21.0551326122018,15.4039731133729,1.221,5.9583,0.1832,5.9486,1.2231,0.4948,3.7922,0.183304532516618,0.998325,6.1481,7.1732,8.2703,9.4461,10.7078
"betaprime",2.75962585560977,153.099902416999,1.2488,5.3952,0.2105,5.339,1.2437,0.2911,3.9339,0.207655549238035,1,5.2746,5.9451,6.6149,7.2851,7.9562
"betaprime",2.99804635999026,76.7920674643246,1.2473,5.4483,0.2057,5.4672,1.2501,0.3087,3.9349,0.205171127466715,0.999978,5.362,6.0649,6.7724,7.4858,8.2056
